Player,Team,xA90,NPxG90_xA90,xGChain90,xGBuildup90
Sávio,Manchester City,0.5,0.74,0.73,0.22
Julián Araujo,Bournemouth,0.0,0.0,0.11,0.11
Ben Brereton Díaz,Southampton,0.02,0.15,0.29,0.15
Edson Álvarez,West Ham,0.03,0.06,0.19,0.14
Dean Huijsen,Bournemouth,0.04,0.07,0.36,0.32
Murillo,Nottingham Forest,0.16,0.21,0.34,0.3
Daniel Muñoz,Crystal Palace,0.05,0.11,0.36,0.32
Adam Wharton,Crystal Palace,0.05,0.07,0.3,0.26
Jacob Greaves,Ipswich,0.0,0.13,0.31,0.31
Luke Woolfenden,Ipswich,0.0,0.01,0.05,0.05
Wes Burns,Ipswich,0.42,0.48,0.53,0.2
Cameron Burgess,Ipswich,0.02,0.08,0.48,0.46
Yukinari Sugawara,Southampton,0.26,0.26,0.11,0.06
Mads Hermansen,Leicester,0.0,0.0,0.26,0.26
Mateus Fernandes,Southampton,0.25,0.37,0.73,0.37
Jack Clarke,Ipswich,0.25,0.47,0.51,0.09
André,Wolverhampton Wanderers,0.01,0.03,0.34,0.33
Ferdi Kadioglu,Brighton,0.04,0.16,0.53,0.39
Ryan Manning,Southampton,0.06,0.09,0.29,0.25
